model,mode,subject,subject_label,supercategory,n,correct,accuracy,avg_confidence,calibration_gap,expected_calibration_error,rms_calibration_error,n_shot_mean,n_shot_min,n_shot_max,truncated_count
base,five_shot,high_school_world_history,high school world history,Humanities,237,58,0.24472573839662448,0.4347316581237165,0.19000591972709202,0.19000591972709202,0.22433707855488394,2.670886075949367,1,4,0
base,five_shot,human_aging,human aging,Other,223,79,0.3542600896860987,0.3804983491320246,0.02623825944592595,0.07658399755110117,0.08529718016320115,5.0,5,5,0
base,five_shot,human_sexuality,human sexuality,Social Sciences,131,32,0.24427480916030533,0.4579327591047942,0.21365794994448886,0.21783082653547972,0.22741438755300927,5.0,5,5,0
base,five_shot,international_law,international law,Humanities,121,23,0.19008264462809918,0.349539937312938,0.1594572926848388,0.15945729268483877,0.17274669156884281,5.0,5,5,0
base,five_shot,jurisprudence,jurisprudence,Humanities,108,19,0.17592592592592593,0.5316549274656508,0.35572900153972487,0.35572900153972487,0.37516005797620483,5.0,5,5,0
base,five_shot,logical_fallacies,logical fallacies,Humanities,163,34,0.2085889570552147,0.4507025249896605,0.2421135679344458,0.2421135679344458,0.2642183537559199,5.0,5,5,0
base,five_shot,machine_learning,machine learning,STEM,112,26,0.23214285714285715,0.40209331257002695,0.1699504554271698,0.2058556244841644,0.22986386178958035,5.0,5,5,0
base,five_shot,management,management,Other,103,27,0.2621359223300971,0.4270442744481911,0.16490835211809401,0.16490835211809396,0.20211710469521157,5.0,5,5,0
base,five_shot,marketing,marketing,Other,234,41,0.1752136752136752,0.4406303748106345,0.2654166995969593,0.27016672262778646,0.29138163591849536,5.0,5,5,0
base,five_shot,medical_genetics,medical genetics,Other,100,26,0.26,0.3992840680480003,0.1392840680480003,0.14478006631135942,0.17425340705566467,5.0,5,5,0
base,five_shot,miscellaneous,miscellaneous,Other,783,204,0.26053639846743293,0.42137766942515076,0.16084127095771783,0.1608412709577178,0.16934175056476394,5.0,5,5,0
base,five_shot,moral_disputes,moral disputes,Humanities,346,75,0.21676300578034682,0.43031436006802354,0.21355135428767671,0.21420792115561535,0.2471952563852635,5.0,5,5,0
base,five_shot,moral_scenarios,moral scenarios,Humanities,895,217,0.2424581005586592,0.4464069056111341,0.2039488050524749,0.2039488050524749,0.20415036570445325,5.0,5,5,0
base,five_shot,nutrition,nutrition,Other,306,72,0.23529411764705882,0.35641130074566485,0.12111718309860603,0.12111718309860606,0.13627023311822664,5.0,5,5,0
base,five_shot,philosophy,philosophy,Humanities,311,61,0.19614147909967847,0.40247324588214467,0.2063317667824662,0.20633176678246626,0.22134716906554086,5.0,5,5,0
base,five_shot,prehistory,prehistory,Humanities,324,75,0.23148148148148148,0.48262825507072754,0.2511467735892461,0.25796893965682866,0.2664287113437955,5.0,5,5,0
base,five_shot,professional_accounting,professional accounting,Other,282,76,0.2695035460992908,0.4036074348375307,0.13410388873823992,0.13410388873823992,0.139169690151088,5.0,5,5,0
base,five_shot,professional_law,professional law,Humanities,1534,402,0.2620599739243807,0.32898598410082297,0.06692601017644229,0.06692601017644226,0.07868920596839157,2.9211212516297262,0,3,0
base,five_shot,professional_medicine,professional medicine,Other,272,114,0.41911764705882354,0.447409098420073,0.028291451361249442,0.04708771166556023,0.06889378913785307,3.588235294117647,3,4,0
base,five_shot,professional_psychology,professional psychology,Social Sciences,612,162,0.2647058823529412,0.46129901726651035,0.19659313491356917,0.1965931349135692,0.21259808964695803,5.0,5,5,0
base,five_shot,public_relations,public relations,Social Sciences,110,24,0.21818181818181817,0.3645858959718184,0.14640407779000023,0.14640407779000023,0.15950104452470978,5.0,5,5,0
base,five_shot,security_studies,security studies,Social Sciences,245,100,0.40816326530612246,0.5088110466392672,0.10064778133314478,0.11796183780748018,0.20355745671586395,3.820408163265306,3,4,0
base,five_shot,sociology,sociology,Social Sciences,201,47,0.23383084577114427,0.45940403499413485,0.22557318922299058,0.22919175399476616,0.24097823905688148,5.0,5,5,0
base,five_shot,us_foreign_policy,us foreign policy,Social Sciences,100,27,0.27,0.4499456083774567,0.17994560837745666,0.20287186980247499,0.2180062267636824,5.0,5,5,0
base,five_shot,virology,virology,Other,166,44,0.26506024096385544,0.39786450816206187,0.13280426719820643,0.13280426719820645,0.1862641407706725,5.0,5,5,0
base,five_shot,world_religions,world religions,Humanities,171,35,0.2046783625730994,0.42817118746495386,0.22349282489185446,0.22349282489185446,0.22519439667472213,5.0,5,5,0
base,zero_shot,abstract_algebra,abstract algebra,STEM,100,22,0.22,0.8584109836816788,0.6384109836816788,0.6478884047269822,0.6564044707490325,0.0,0,0,0
base,zero_shot,anatomy,anatomy,STEM,135,27,0.2,0.7632975986710301,0.56329759867103,0.5632975986710301,0.5734305652887989,0.0,0,0,0
base,zero_shot,astronomy,astronomy,STEM,152,27,0.17763157894736842,0.8684812368530976,0.6908496579057293,0.6970634860427756,0.7004438065431642,0.0,0,0,0
base,zero_shot,business_ethics,business ethics,Other,100,30,0.3,0.8018251663446426,0.5018251663446427,0.5018251663446426,0.5034353597676979,0.0,0,0,0
base,zero_shot,clinical_knowledge,clinical knowledge,Other,265,55,0.20754716981132076,0.7780003549917689,0.5704531851804482,0.5704531851804482,0.5814097551964629,0.0,0,0,0
base,zero_shot,college_biology,college biology,STEM,144,39,0.2708333333333333,0.7569203322960271,0.48608699896269375,0.48715191210309666,0.5033789804861071,0.0,0,0,0
base,zero_shot,college_chemistry,college chemistry,STEM,100,20,0.2,0.7755044028162956,0.5755044028162957,0.5763515010476112,0.6102090246536954,0.0,0,0,0
base,zero_shot,college_computer_science,college computer science,STEM,100,25,0.25,0.817480496764183,0.567480496764183,0.5674804967641831,0.5815957691947564,0.0,0,0,0
base,zero_shot,college_mathematics,college mathematics,STEM,100,21,0.21,0.8463247406482697,0.6363247406482697,0.6363247406482696,0.6531239107982972,0.0,0,0,0
base,zero_shot,college_medicine,college medicine,Other,173,37,0.2138728323699422,0.7961896842270229,0.5823168518570807,0.5831276476383209,0.5921227876502526,0.0,0,0,0
base,zero_shot,college_physics,college physics,STEM,102,22,0.21568627450980393,0.885341196083555,0.6696549215737511,0.6696549215737512,0.6821244496934052,0.0,0,0,0
base,zero_shot,computer_security,computer security,STEM,100,28,0.28,0.8047228562831878,0.5247228562831878,0.5247228562831878,0.5389996278734147,0.0,0,0,0
base,zero_shot,conceptual_physics,conceptual physics,STEM,235,62,0.26382978723404255,0.8884998253051271,0.6246700380710846,0.6275295721723678,0.6298750054964023,0.0,0,0,0
base,zero_shot,econometrics,econometrics,Social Sciences,114,27,0.23684210526315788,0.8541743525287562,0.6173322472655983,0.6173322472655982,0.6218316070078473,0.0,0,0,0
base,zero_shot,electrical_engineering,electrical engineering,STEM,145,35,0.2413793103448276,0.8637353880652066,0.6223560777203789,0.622356077720379,0.6242442368906328,0.0,0,0,0
base,zero_shot,elementary_mathematics,elementary mathematics,STEM,378,80,0.21164021164021163,0.8679514768577757,0.6563112652175641,0.6563112652175642,0.662164464664777,0.0,0,0,0
base,zero_shot,formal_logic,formal logic,Humanities,126,34,0.2698412698412698,0.7987774984231071,0.5289362285818373,0.5289362285818372,0.5337926804091704,0.0,0,0,0
base,zero_shot,global_facts,global facts,Other,100,18,0.18,0.8597112089395523,0.6797112089395523,0.6797112089395523,0.6988673407429316,0.0,0,0,0
base,zero_shot,high_school_biology,high school biology,STEM,310,55,0.1774193548387097,0.8015353082649169,0.6241159534262073,0.627482874258872,0.6331350022089988,0.0,0,0,0
base,zero_shot,high_school_chemistry,high school chemistry,STEM,203,30,0.1477832512315271,0.7919393217035116,0.6441560704719844,0.6441560704719844,0.6503513652950502,0.0,0,0,0
base,zero_shot,high_school_computer_science,high school computer science,STEM,100,25,0.25,0.8569182854890823,0.6069182854890823,0.6069182854890823,0.6152562548697861,0.0,0,0,0
base,zero_shot,high_school_european_history,high school european history,Humanities,165,36,0.21818181818181817,0.8516523231159557,0.6334705049341376,0.6334705049341375,0.6357079060224523,0.0,0,0,0
base,zero_shot,high_school_geography,high school geography,Social Sciences,198,36,0.18181818181818182,0.8359283202826374,0.6541101384644556,0.6582939955923292,0.6604233672902396,0.0,0,0,0
base,zero_shot,high_school_government_and_politics,high school government and politics,Social Sciences,193,38,0.19689119170984457,0.8846928844797797,0.6878016927699351,0.6878016927699351,0.6899160479889537,0.0,0,0,0
base,zero_shot,high_school_macroeconomics,high school macroeconomics,Social Sciences,390,79,0.20256410256410257,0.8706981055247478,0.6681340029606453,0.6681340029606453,0.6685604106566179,0.0,0,0,0
base,zero_shot,high_school_mathematics,high school mathematics,STEM,270,57,0.2111111111111111,0.885929795547768,0.6748186844366568,0.6748186844366568,0.6787913543214541,0.0,0,0,0
base,zero_shot,high_school_microeconomics,high school microeconomics,Social Sciences,238,50,0.21008403361344538,0.882241712397888,0.6721576787844425,0.6721576787844425,0.6722225710320514,0.0,0,0,0
base,zero_shot,high_school_physics,high school physics,STEM,151,30,0.1986754966887417,0.9193655690610014,0.7206900723722597,0.7265299223116691,0.7272401249605046,0.0,0,0,0
base,zero_shot,high_school_psychology,high school psychology,Social Sciences,545,104,0.1908256880733945,0.8262432573585335,0.635417569285139,0.635417569285139,0.6387436974973362,0.0,0,0,0
base,zero_shot,high_school_statistics,high school statistics,STEM,216,33,0.1527777777777778,0.8931482649511762,0.7403704871733984,0.7403704871733983,0.7413721598838973,0.0,0,0,0
base,zero_shot,high_school_us_history,high school us history,Humanities,204,51,0.25,0.8804940455684475,0.6304940455684475,0.6304940455684475,0.633035770082078,0.0,0,0,0
base,zero_shot,high_school_world_history,high school world history,Humanities,237,64,0.270042194092827,0.8653525732740571,0.5953103791812302,0.5980450835409044,0.6081944870571846,0.0,0,0,0
base,zero_shot,human_aging,human aging,Other,223,70,0.31390134529147984,0.8414706365944559,0.527569291302976,0.530903019178074,0.5367744858437732,0.0,0,0,0
base,zero_shot,human_sexuality,human sexuality,Social Sciences,131,34,0.2595419847328244,0.8270805177797798,0.5675385330469553,0.5675385330469553,0.5767810966297524,0.0,0,0,0
base,zero_shot,international_law,international law,Humanities,121,29,0.2396694214876033,0.900570419701663,0.6609009982140597,0.6609009982140597,0.6613147995211432,0.0,0,0,0
base,zero_shot,jurisprudence,jurisprudence,Humanities,108,29,0.26851851851851855,0.8667930786808332,0.5982745601623147,0.6076021026130076,0.615873397287487,0.0,0,0,0
base,zero_shot,logical_fallacies,logical fallacies,Humanities,163,37,0.22699386503067484,0.8659477107729648,0.63895384574229,0.6450626833672903,0.6465043687270855,0.0,0,0,0
base,zero_shot,machine_learning,machine learning,STEM,112,36,0.32142857142857145,0.8144004999526909,0.4929719285241195,0.49297192852411953,0.4988019074708254,0.0,0,0,0
base,zero_shot,management,management,Other,103,18,0.17475728155339806,0.8608041226285176,0.6860468410751195,0.6860468410751195,0.6873148611617488,0.0,0,0,0
base,zero_shot,marketing,marketing,Other,234,68,0.2905982905982906,0.8398612984734722,0.5492630078751817,0.5492630078751818,0.5530103221264966,0.0,0,0,0
base,zero_shot,medical_genetics,medical genetics,Other,100,31,0.31,0.8018822151422501,0.4918822151422501,0.49188221514225006,0.4975079920323803,0.0,0,0,0
base,zero_shot,miscellaneous,miscellaneous,Other,783,184,0.23499361430395913,0.8229047334057161,0.587911119101757,0.5880824561929032,0.5911022640265393,0.0,0,0,0
base,zero_shot,moral_disputes,moral disputes,Humanities,346,86,0.24855491329479767,0.8523674320451097,0.603812518750312,0.606824192783736,0.610253194579204,0.0,0,0,0
base,zero_shot,moral_scenarios,moral scenarios,Humanities,895,213,0.23798882681564246,0.8442080816743094,0.6062192548586669,0.6062192548586669,0.6062346511525217,0.0,0,0,0
base,zero_shot,nutrition,nutrition,Other,306,67,0.21895424836601307,0.715562731417176,0.4966084830511629,0.49660848305116295,0.5172972956622004,0.0,0,0,0
base,zero_shot,philosophy,philosophy,Humanities,311,57,0.1832797427652733,0.868748879221858,0.6854691364565846,0.6854691364565846,0.6894002361445405,0.0,0,0,0
base,zero_shot,prehistory,prehistory,Humanities,324,70,0.21604938271604937,0.8339559036640474,0.617906520947998,0.6211266920522407,0.6256159568430679,0.0,0,0,0
base,zero_shot,professional_accounting,professional accounting,Other,282,65,0.23049645390070922,0.8359066484667731,0.6054101945660639,0.6063892431292974,0.6259354314958131,0.0,0,0,0
base,zero_shot,professional_law,professional law,Humanities,1534,377,0.2457627118644068,0.9076478632829957,0.661885151418589,0.661885151418589,0.6627022754766232,0.0,0,0,0
base,zero_shot,professional_medicine,professional medicine,Other,272,52,0.19117647058823528,0.7540130969136953,0.56283662632546,0.56283662632546,0.5742726549833813,0.0,0,0,0
base,zero_shot,professional_psychology,professional psychology,Social Sciences,612,155,0.25326797385620914,0.8288644755782645,0.5755965017220553,0.5758561265040067,0.5850197003748924,0.0,0,0,0
base,zero_shot,public_relations,public relations,Social Sciences,110,24,0.21818181818181817,0.8625631706281142,0.644381352446296,0.644381352446296,0.6505602362079274,0.0,0,0,0
base,zero_shot,security_studies,security studies,Social Sciences,245,46,0.18775510204081633,0.8807387566079898,0.6929836545671735,0.6929836545671735,0.6967978380081106,0.0,0,0,0
base,zero_shot,sociology,sociology,Social Sciences,201,49,0.24378109452736318,0.8541933514585542,0.610412256931191,0.610412256931191,0.6179998251470691,0.0,0,0,0
base,zero_shot,us_foreign_policy,us foreign policy,Social Sciences,100,28,0.28,0.8893634659051896,0.6093634659051895,0.6093634659051895,0.6219953565824825,0.0,0,0,0
base,zero_shot,virology,virology,Other,166,47,0.28313253012048195,0.7946812567940678,0.5115487266735859,0.5115487266735858,0.5185601199339294,0.0,0,0,0
base,zero_shot,world_religions,world religions,Humanities,171,55,0.3216374269005848,0.8385433118942885,0.5169058849937038,0.5169058849937037,0.5240262492977706,0.0,0,0,0
sft,five_shot,abstract_algebra,abstract algebra,STEM,100,24,0.24,0.6082742115855218,0.36827421158552176,0.3951249346137046,0.40414801995070987,5.0,5,5,0
sft,five_shot,anatomy,anatomy,STEM,135,31,0.22962962962962963,0.37606134944491915,0.14643171981528952,0.16381581403591014,0.1748516878815623,5.0,5,5,0
sft,five_shot,astronomy,astronomy,STEM,152,27,0.17763157894736842,0.6552409223820034,0.47760934343463496,0.477609343434635,0.4886627413158393,5.0,5,5,0
sft,five_shot,business_ethics,business ethics,Other,100,27,0.27,0.35175874292850495,0.08175874292850493,0.08807702004909515,0.15084916723508524,5.0,5,5,0
sft,five_shot,clinical_knowledge,clinical knowledge,Other,265,69,0.26037735849056604,0.4405795820479123,0.18020222355734627,0.18020222355734625,0.192346164905135,5.0,5,5,0
sft,five_shot,college_biology,college biology,STEM,144,32,0.2222222222222222,0.542084309582909,0.3198620873606868,0.3198620873606868,0.32167672081087095,5.0,5,5,0
sft,five_shot,college_chemistry,college chemistry,STEM,100,18,0.18,0.45971735030412675,0.27971735030412676,0.2923441091179848,0.30560277726973056,5.0,5,5,0
sft,five_shot,college_computer_science,college computer science,STEM,100,27,0.27,0.44632490903139116,0.17632490903139114,0.17910361260175706,0.21266378967693642,5.0,5,5,0
sft,five_shot,college_mathematics,college mathematics,STEM,100,28,0.28,0.5102331289649009,0.2302331289649009,0.23023312896490097,0.27034908684044373,5.0,5,5,0
sft,five_shot,college_medicine,college medicine,Other,173,35,0.2023121387283237,0.42474051517558237,0.22242837644725866,0.23145531247116927,0.24093714101436134,4.855491329479769,0,5,0
sft,five_shot,college_physics,college physics,STEM,102,23,0.22549019607843138,0.5788004079870149,0.3533102119085836,0.3533102119085835,0.39317258239048447,5.0,5,5,0
sft,five_shot,computer_security,computer security,STEM,100,19,0.19,0.4492827954888344,0.25928279548883437,0.25928279548883437,0.28095087801676755,5.0,5,5,0
sft,five_shot,conceptual_physics,conceptual physics,STEM,235,61,0.25957446808510637,0.5098643841895651,0.2502899161044588,0.2502899161044588,0.27194554566137286,5.0,5,5,0
sft,five_shot,econometrics,econometrics,Social Sciences,114,28,0.24561403508771928,0.39868543048699695,0.15307139539927767,0.15307139539927767,0.17971922429159112,5.0,5,5,0
sft,five_shot,electrical_engineering,electrical engineering,STEM,145,29,0.2,0.459422000317738,0.259422000317738,0.259422000317738,0.2805720916643474,5.0,5,5,0
sft,five_shot,elementary_mathematics,elementary mathematics,STEM,378,93,0.24603174603174602,0.6106888762226811,0.36465713019093504,0.364657130190935,0.3759992878759469,5.0,5,5,0
sft,five_shot,formal_logic,formal logic,Humanities,126,20,0.15873015873015872,0.4388435828307318,0.2801134241005731,0.2801134241005731,0.2862053559661941,5.0,5,5,0
sft,five_shot,global_facts,global facts,Other,100,16,0.16,0.6781778782606125,0.5181778782606125,0.5181778782606125,0.5310537685403522,5.0,5,5,0
sft,five_shot,high_school_biology,high school biology,STEM,310,79,0.25483870967741934,0.42344705087523304,0.1686083411978137,0.1686083411978137,0.1952838063075353,5.0,5,5,0
sft,five_shot,high_school_chemistry,high school chemistry,STEM,203,50,0.24630541871921183,0.3900513759093919,0.14374595719018005,0.1437459571901801,0.17365986911342757,5.0,5,5,0
sft,five_shot,high_school_computer_science,high school computer science,STEM,100,26,0.26,0.40930334240198135,0.14930334240198134,0.16590706437826155,0.18659186500112301,4.95,4,5,0
sft,five_shot,high_school_european_history,high school european history,Humanities,165,44,0.26666666666666666,0.4384999484726877,0.17183328180602103,0.17183328180602103,0.23333927301429908,0.9272727272727272,0,1,0
sft,five_shot,high_school_geography,high school geography,Social Sciences,198,50,0.25252525252525254,0.40300814988035144,0.1504828973550989,0.15048289735509895,0.16917850717202465,5.0,5,5,0
sft,five_shot,high_school_government_and_politics,high school government and politics,Social Sciences,193,61,0.3160621761658031,0.34642585864956515,0.030363682483762033,0.03635446101890327,0.037347353042589494,5.0,5,5,0
sft,five_shot,high_school_macroeconomics,high school macroeconomics,Social Sciences,390,114,0.2923076923076923,0.426206968151606,0.1338992758439137,0.13389927584391376,0.14548206740388578,5.0,5,5,0
sft,five_shot,high_school_mathematics,high school mathematics,STEM,270,78,0.28888888888888886,0.5206893686895018,0.2318004798006129,0.2330015352478734,0.25960542415043986,5.0,5,5,0
sft,five_shot,high_school_microeconomics,high school microeconomics,Social Sciences,238,71,0.29831932773109243,0.4249370371093269,0.12661770937823447,0.12661770937823447,0.15705827645160694,5.0,5,5,0
sft,five_shot,high_school_physics,high school physics,STEM,151,39,0.2582781456953642,0.49116381844937407,0.23288567275400984,0.23288567275400981,0.2766669082801379,5.0,5,5,0
sft,five_shot,high_school_psychology,high school psychology,Social Sciences,545,118,0.21651376146788992,0.38559272289276125,0.16907896142487133,0.16907896142487133,0.18170289961797026,5.0,5,5,0
sft,five_shot,high_school_statistics,high school statistics,STEM,216,101,0.4675925925925926,0.688502711692342,0.2209101190997494,0.23959114719872124,0.27568274316634317,4.99537037037037,4,5,0
sft,five_shot,high_school_us_history,high school us history,Humanities,204,49,0.24019607843137256,0.3636390097877559,0.12344293135638332,0.1321690244709744,0.1353556349129823,1.0637254901960784,1,2,0
sft,five_shot,high_school_world_history,high school world history,Humanities,237,62,0.2616033755274262,0.4129424694972702,0.15133909396984402,0.16711428887230434,0.197943024346803,2.670886075949367,1,4,0
sft,five_shot,human_aging,human aging,Other,223,82,0.36771300448430494,0.444204883858762,0.07649187937445706,0.07649187937445703,0.09751965321942359,5.0,5,5,0
sft,five_shot,human_sexuality,human sexuality,Social Sciences,131,33,0.25190839694656486,0.4769533281107895,0.22504493116422464,0.22504493116422464,0.2499943464650668,5.0,5,5,0
sft,five_shot,international_law,international law,Humanities,121,30,0.24793388429752067,0.40410850141659255,0.15617461711907188,0.1561746171190719,0.19620475807372126,5.0,5,5,0
sft,five_shot,jurisprudence,jurisprudence,Humanities,108,23,0.21296296296296297,0.4917532969956045,0.27879033403264153,0.2787903340326415,0.30265113531344295,5.0,5,5,0
sft,five_shot,logical_fallacies,logical fallacies,Humanities,163,43,0.26380368098159507,0.3636215451670571,0.09981786418546201,0.10949923271781827,0.13649150828263976,5.0,5,5,0
sft,five_shot,machine_learning,machine learning,STEM,112,26,0.23214285714285715,0.4010934310832194,0.16895057394036223,0.16895057394036223,0.17517218973919002,5.0,5,5,0
sft,five_shot,management,management,Other,103,23,0.22330097087378642,0.4729629653750114,0.249661994501225,0.24966199450122503,0.29827870730465966,5.0,5,5,0
sft,five_shot,marketing,marketing,Other,234,51,0.21794871794871795,0.3684665327652907,0.15051781481657273,0.15051781481657275,0.16512724635704856,5.0,5,5,0
sft,five_shot,medical_genetics,medical genetics,Other,100,32,0.32,0.44820833384990694,0.12820833384990693,0.1282083338499069,0.1839093146867574,5.0,5,5,0
sft,five_shot,miscellaneous,miscellaneous,Other,783,212,0.2707535121328225,0.4262341597756207,0.15548064764279818,0.15608401883912118,0.17035938466971912,5.0,5,5,0
sft,five_shot,moral_disputes,moral disputes,Humanities,346,86,0.24855491329479767,0.4313294907353517,0.18277457744055403,0.18277457744055403,0.23687084396247293,5.0,5,5,0
sft,five_shot,moral_scenarios,moral scenarios,Humanities,895,217,0.2424581005586592,0.5699097176836856,0.32745161712502635,0.3274516171250264,0.32821537701824777,5.0,5,5,0
sft,five_shot,nutrition,nutrition,Other,306,73,0.238562091503268,0.3837516713960498,0.14518957989278183,0.14518957989278178,0.152767183776019,5.0,5,5,0
sft,five_shot,philosophy,philosophy,Humanities,311,78,0.2508038585209003,0.39880896084178297,0.14800510232088265,0.15218119538865288,0.17481083042598233,5.0,5,5,0
sft,five_shot,prehistory,prehistory,Humanities,324,87,0.26851851851851855,0.35970211884489767,0.09118360032637912,0.11632359202629251,0.126865828615998,5.0,5,5,0
sft,five_shot,professional_accounting,professional accounting,Other,282,73,0.25886524822695034,0.39324469779822846,0.13437944957127812,0.15521850008913812,0.16486790333808807,5.0,5,5,0
sft,five_shot,professional_law,professional law,Humanities,1534,404,0.2633637548891786,0.3237350040650896,0.06037124917591097,0.06037124917591103,0.07808163821599898,2.9211212516297262,0,3,0
sft,five_shot,professional_medicine,professional medicine,Other,272,109,0.4007352941176471,0.4205300251350683,0.01979473101742124,0.03325677685001315,0.06283460699334437,3.588235294117647,3,4,0
sft,five_shot,professional_psychology,professional psychology,Social Sciences,612,160,0.26143790849673204,0.48297594692192825,0.2215380384251962,0.2229037740651299,0.2321857573636576,5.0,5,5,0
sft,five_shot,public_relations,public relations,Social Sciences,110,17,0.15454545454545454,0.3704342698509043,0.21588881530544973,0.21630782999775625,0.24285494219508513,5.0,5,5,0
sft,five_shot,security_studies,security studies,Social Sciences,245,58,0.23673469387755103,0.37691073989381596,0.14017604601626493,0.14118336451296903,0.14880530655490787,3.820408163265306,3,4,0
